Relationship,AdultTraumas,Educations,Locations
Married,Other,Some College / Trade School,College/University
Single,No Evidence,Less than high School,Retail
Married,No Evidence,Some College / Trade School,Warehouse/Factory
Single,No Evidence,unstated,Restaurant/Bar/Nightclub
Married,Other,Some College / Trade School,Outdoors
Single,No Evidence,Graduate School / Advanced Degree,Office
Married,Death or loss of a child,High School / GED,Retail
unstated,No Evidence,Some College / Trade School,Office
Single,Other,Some College / Trade School,Place of Residence
Single,No Evidence,unstated,Place of Residence
Divorced / Separated / Widowed,No Evidence,unstated,College/University
Single,No Evidence,Some College / Trade School,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
Single,No Evidence,High School / GED,Outdoors
Married,No Evidence,unstated,Restaurant/Bar/Nightclub
unstated,Traumatic Accident,Less than high School,Restaurant/Bar/Nightclub
Married,No Evidence,Graduate School / Advanced Degree,House of worship
Single,Death of a Parent,Some College / Trade School,Place of Residence
Single,No Evidence,unstated,Restaurant/Bar/Nightclub
Single,No Evidence,unstated,Retail
Single,No Evidence,Some College / Trade School,Outdoors
Divorced / Separated / Widowed,No Evidence,unstated,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,Graduate School / Advanced Degree,Retail
Single,No Evidence,unstated,Place of Residence
Divorced / Separated / Widowed,No Evidence,unstated,Outdoors
Divorced / Separated / Widowed,No Evidence,Less than high School,Place of Residence
Single,No Evidence,High School / GED,Outdoors
Divorced / Separated / Widowed,No Evidence,Less than high School,Restaurant/Bar/Nightclub
Married,No Evidence,Bachelor's Degree,Restaurant/Bar/Nightclub
Single,No Evidence,unstated,Restaurant/Bar/Nightclub
Married,No Evidence,High School / GED,Warehouse/Factory
Single,Death of a Parent,Some College / Trade School,Post Office
Married,No Evidence,Graduate School / Advanced Degree,Retail
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Office
Divorced / Separated / Widowed,No Evidence,unstated,Outdoors
Married,Trauma from War,unstated,Retail
Single,No Evidence,Some College / Trade School,K-12 School
Boyfriend/Girlfriend,No Evidence,High School / GED,Warehouse/Factory
Divorced / Separated / Widowed,Death of a Parent,unstated,Retail
Single,No Evidence,unstated,Post Office
Single,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Single,No Evidence,Graduate School / Advanced Degree,College/University
Divorced / Separated / Widowed,Trauma from War,unstated,Outdoors
Single,No Evidence,High School / GED,Post Office
Single,Death of a Parent,unstated,Outdoors
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,unstated,Government Building / Place of Civic Importance
Divorced / Separated / Widowed,No Evidence,unstated,Place of Residence
Divorced / Separated / Widowed,No Evidence,Graduate School / Advanced Degree,Office
Boyfriend/Girlfriend,Death of a Parent,unstated,Restaurant/Bar/Nightclub
Single,No Evidence,Some College / Trade School,Retail
Single,Death of a Parent,Bachelor's Degree,Office
Divorced / Separated / Widowed,Death of a Parent,Some College / Trade School,Outdoors
Boyfriend/Girlfriend,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Single,No Evidence,Some College / Trade School,Government Building / Place of Civic Importance
Single,No Evidence,Less than high School,Retail
Single,No Evidence,Some College / Trade School,Warehouse/Factory
Boyfriend/Girlfriend,No Evidence,unstated,Warehouse/Factory
Single,No Evidence,Less than high School,Retail
Married,No Evidence,unstated,Office
Married,No Evidence,unstated,Office
Boyfriend/Girlfriend,Death of a Family Member,Less than high School,Office
Single,No Evidence,Some College / Trade School,Warehouse/Factory
Married,No Evidence,Bachelor's Degree,Warehouse/Factory
Married,No Evidence,High School / GED,Warehouse/Factory
Single,No Evidence,Bachelor's Degree,Office
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,Less than high School,K-12 School
Divorced / Separated / Widowed,No Evidence,unstated,House of worship
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,Less than high School,K-12 School
Boyfriend/Girlfriend,Death of a Family Member,Some College / Trade School,Retail
Divorced / Separated / Widowed,No Evidence,Bachelor's Degree,Office
Single,Death of a Parent,Some College / Trade School,House of worship
Single,Death of a Parent,Some College / Trade School,Office
Single,No Evidence,unstated,Retail
Single,No Evidence,Less than high School,Retail
Single,No Evidence,Graduate School / Advanced Degree,Place of Residence
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Office
Married,No Evidence,unstated,Retail
Divorced / Separated / Widowed,No Evidence,High School / GED,Warehouse/Factory
Single,No Evidence,High School / GED,Retail
Single,No Evidence,High School / GED,Outdoors
Married,No Evidence,unstated,Warehouse/Factory
unstated,No Evidence,unstated,Office
Boyfriend/Girlfriend,No Evidence,unstated,Warehouse/Factory
Single,No Evidence,unstated,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,unstated,Restaurant/Bar/Nightclub
Single,No Evidence,Some College / Trade School,Warehouse/Factory
Married,No Evidence,High School / GED,Outdoors
Single,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Government Building / Place of Civic Importance
Single,No Evidence,High School / GED,House of worship
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,unstated,House of worship
Single,No Evidence,unstated,Post Office
Single,No Evidence,Some College / Trade School,Place of Residence
Married,No Evidence,Less than high School,House of worship
Married,Death or loss of a child,High School / GED,K-12 School
Boyfriend/Girlfriend,No Evidence,Less than high School,Retail
Single,No Evidence,Some College / Trade School,College/University
Single,No Evidence,High School / GED,Retail
Single,No Evidence,Some College / Trade School,House of worship
Married,No Evidence,Bachelor's Degree,Government Building / Place of Civic Importance
Boyfriend/Girlfriend,Death of a Parent,Graduate School / Advanced Degree,College/University
Single,Death of a Parent,High School / GED,Warehouse/Factory
Boyfriend/Girlfriend,No Evidence,High School / GED,Warehouse/Factory
Single,No Evidence,unstated,Place of Residence
Divorced / Separated / Widowed,No Evidence,unstated,Place of Residence
Divorced / Separated / Widowed,No Evidence,unstated,Government Building / Place of Civic Importance
Boyfriend/Girlfriend,No Evidence,unstated,Retail
Single,Death of a Parent,Graduate School / Advanced Degree,Government Building / Place of Civic Importance
Married,No Evidence,Less than high School,Restaurant/Bar/Nightclub
Single,No Evidence,unstated,Restaurant/Bar/Nightclub
Divorced / Separated / Widowed,No Evidence,unstated,Restaurant/Bar/Nightclub
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Warehouse/Factory
Boyfriend/Girlfriend,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Married,No Evidence,unstated,Place of Residence
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,High School / GED,Place of Residence
Single,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Divorced / Separated / Widowed,Traumatic Accident,High School / GED,Retail
Divorced / Separated / Widowed,unstated,Some College / Trade School,College/University
Boyfriend/Girlfriend,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Single,No Evidence,Graduate School / Advanced Degree,Retail
Single,No Evidence,High School / GED,House of worship
Single,No Evidence,High School / GED,Warehouse/Factory
Single,No Evidence,Some College / Trade School,K-12 School
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Place of Residence
Single,No Evidence,Some College / Trade School,College/University
Boyfriend/Girlfriend,No Evidence,Bachelor's Degree,Place of Residence
Single,Other,Some College / Trade School,Government Building / Place of Civic Importance
Single,No Evidence,unstated,Government Building / Place of Civic Importance
Single,No Evidence,Some College / Trade School,College/University
Boyfriend/Girlfriend,No Evidence,Less than high School,K-12 School
Single,No Evidence,High School / GED,House of worship
Single,No Evidence,Bachelor's Degree,Government Building / Place of Civic Importance
Single,No Evidence,Some College / Trade School,College/University
Divorced / Separated / Widowed,Death of a Parent,High School / GED,Outdoors
Married,No Evidence,Graduate School / Advanced Degree,Office
Married,No Evidence,Bachelor's Degree,Office
Married,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
unstated,unstated,unstated,Place of Residence
Married,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
Single,No Evidence,High School / GED,Outdoors
Single,No Evidence,High School / GED,Retail
Boyfriend/Girlfriend,Trauma from War,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,unstated,Restaurant/Bar/Nightclub
Divorced / Separated / Widowed,No Evidence,unstated,Retail
Single,No Evidence,High School / GED,Warehouse/Factory
Boyfriend/Girlfriend,No Evidence,Bachelor's Degree,Outdoors
Married,No Evidence,High School / GED,House of worship
Married,No Evidence,Some College / Trade School,Place of Residence
Single,No Evidence,Some College / Trade School,Retail
Single,Death of a Parent,Less than high School,K-12 School
unstated,No Evidence,unstated,Retail
Single,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,Bachelor's Degree,Office
Divorced / Separated / Widowed,No Evidence,unstated,Warehouse/Factory
Single,No Evidence,Less than high School,House of worship
Divorced / Separated / Widowed,Trauma from War,Some College / Trade School,Restaurant/Bar/Nightclub
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,unstated,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,Bachelor's Degree,Office
unstated,No Evidence,Some College / Trade School,Retail
Single,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
unstated,Death of a Family Member,Some College / Trade School,Outdoors
Boyfriend/Girlfriend,No Evidence,unstated,Retail
Boyfriend/Girlfriend,No Evidence,unstated,Retail
Married,Death or loss of a child,Some College / Trade School,Warehouse/Factory
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,High School / GED,Place of Residence
Single,Other,Some College / Trade School,Retail
Single,No Evidence,High School / GED,Retail
Divorced / Separated / Widowed,No Evidence,unstated,Office
Single,No Evidence,Less than high School,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,Some College / Trade School,Warehouse/Factory
Single,No Evidence,Less than high School,K-12 School
Single,Death of a Parent,Bachelor's Degree,Retail
Single,No Evidence,Some College / Trade School,Retail
Single,No Evidence,Less than high School,K-12 School
Divorced / Separated / Widowed,No Evidence,Bachelor's Degree,Office
Single,Other,Less than high School,Outdoors
Single,No Evidence,Less than high School,Outdoors
Single,No Evidence,unstated,Restaurant/Bar/Nightclub
Single,unstated,unstated,Retail